#{"t_start": 1748019731.112538, "env_id": "None"}
r,l,t
-87.946513,20,2.302385
-90.479275,20,2.34096
-94.017289,19,2.379486
-92.398464,20,2.421347
-90.22489,20,2.459531
-87.291457,20,2.496382
-90.48151,20,2.52716
-94.015583,19,2.569098
-87.988076,20,2.604491
-94.089621,19,2.644783
-94.128296,19,2.683369
-87.484503,20,2.721066
-94.14232,19,2.760326
-90.634678,20,2.801322
-91.231009,20,2.842971
-91.782048,20,2.883275
-92.962194,20,2.923554
-89.226573,20,2.964669
-94.19649,19,3.006304
-91.218059,20,3.041578
-87.317756,20,3.081049
-94.118864,19,3.112791
-88.499595,20,3.149781
-94.02837,19,3.186325
-87.323356,20,3.219895
-87.226219,20,3.261456
-94.097791,19,3.292777
-92.109588,20,3.332952
-93.315193,20,3.370864
-90.737277,20,3.410533
-94.250901,19,3.44696
-94.064087,19,3.478702
-90.915253,20,3.514632
-92.70454,20,3.554504
-92.74242,20,3.602589
-89.188299,20,3.649575
-87.547776,20,3.702783
-88.79896,20,3.734833
-94.084255,19,3.769926
-94.008825,19,3.805707
-94.098318,19,3.846755
-88.561746,20,3.881364
-91.536228,20,3.921015
-88.102328,20,3.958632
-93.958151,19,3.994843
-88.230354,20,4.040481
-88.739708,20,4.140497
-92.191723,20,4.193052
-91.857161,20,4.242496
-89.86136,20,4.285435
-87.703853,20,4.335081
-91.755599,20,4.382365
-94.090259,19,4.420579
-90.140916,20,4.469031
-87.610982,20,4.518809
-89.886745,20,4.562031
-90.173381,20,4.601924
-89.054684,20,4.649456
-93.315359,20,4.7009
-89.136495,20,4.750783
-90.34777,20,4.793014
-93.912681,19,4.837652
-90.435431,20,4.882227
-94.005342,19,4.925663
-91.933208,20,4.967335
-87.252243,20,5.015312
-87.484571,20,5.068122
-94.373023,19,5.124388
-87.249175,20,5.166737
-94.044857,19,5.212341
-87.297544,20,5.247748
-94.003319,19,5.287705
-89.777425,20,5.332938
-94.047674,19,5.380201
-87.48143,20,5.42463
-92.406899,20,5.509887
-87.819688,20,5.552505
-91.310577,20,5.596643
-89.827862,20,5.641129
-94.133986,19,5.686004
-93.977722,19,5.732733
-90.413773,20,5.81794
-94.019801,19,5.871714
-91.288667,20,5.926839
-89.328943,20,5.971451
-90.529548,20,6.015202
-93.981511,19,6.042624
-90.639384,20,6.078264
-88.343313,20,6.116235
-89.836994,20,6.157995
-87.480541,20,6.202599
-93.114373,20,6.232786
-89.424456,20,6.26828
-91.495998,20,6.303301
-87.649306,20,6.343002
-90.80727,20,6.37958
-92.033251,20,6.412622
-88.338264,20,6.444681
-94.03585,19,6.477034
-93.133409,20,6.510341
-92.802441,20,6.544337
-87.951061,20,6.580774
-94.078601,19,6.621454
-92.736826,20,10.145977
-87.487746,20,10.177614
-91.791518,20,10.208963
-93.45102,20,10.240207
-88.174945,20,10.268378
-93.090897,20,10.299212
-91.997091,20,10.332132
-87.618428,20,10.363657
-94.01632,19,10.39977
-93.375359,20,10.431763
-88.755807,20,10.468243
-92.197364,20,10.507028
-89.203793,20,10.541903
-88.42408,20,10.568291
-87.431603,20,10.600074
-93.943109,19,10.632755
-91.207389,20,10.67116
-91.239202,20,10.707875
-89.309173,20,10.738588
-92.773173,20,10.775499
-89.824312,20,10.812905
-93.933931,19,10.849144
-94.03588,19,10.884083
-87.271078,20,10.920389
-92.213971,20,10.963652
-87.877328,20,10.997315
-87.225975,20,11.036197
-92.271814,20,11.070045
-92.918898,20,11.107524
-93.20754,20,11.1451
-93.991007,19,11.177888
-90.441718,20,11.213088
-92.997271,20,11.246139
-90.541105,20,11.281131
-88.014726,20,11.318944
-88.169366,20,11.353395
-87.424984,20,11.391197
-89.547044,20,11.4266
-92.278195,20,11.459445
-87.260942,20,11.509972
-92.619452,20,11.55116
-89.602997,20,11.587001
-89.58353,20,11.62355
-93.981815,19,11.661525
-90.062476,20,11.698869
-91.910784,20,11.733124
-90.670826,20,11.766984
-92.981947,20,11.802259
-87.452288,20,11.843592
-90.606884,20,11.879786
-94.027749,19,11.912904
-94.14981,19,11.947573
-87.560801,20,11.980106
-89.670272,20,12.012787
-89.66057,20,12.049803
-87.589935,20,12.098011
-89.670593,20,12.13448
-93.133184,20,12.173609
-87.431646,20,12.224717
-93.965847,19,12.310579
-88.24259,20,12.350775
-94.011088,19,12.385147
-91.608355,20,12.420617
-88.826942,20,12.461515
-89.333273,20,12.498899
-93.113353,20,12.545646
-88.209713,20,12.585549
-94.016646,19,12.61878
-94.104961,19,12.651295
-94.009658,19,12.687494
-93.031389,20,12.7288
-93.434351,20,12.770555
-87.310377,20,12.82034
-91.306438,20,12.852914
-87.444935,20,12.887292
-92.673392,20,12.92261
-94.058332,19,12.964229
-94.104783,19,12.995376
-87.650742,20,13.033115
-91.839062,20,13.069684
-87.968407,20,13.103921
-89.588716,20,13.142991
-93.122814,20,13.182178
-94.082632,19,13.216211
-87.246377,20,13.25782
-94.028798,19,13.298688
-94.14156,19,13.361929
-91.519998,20,13.39812
-87.702606,20,13.43271
-94.012935,19,13.464968
-92.903451,20,13.503615
-90.21623,20,13.539776
-87.997804,20,13.584581
-93.958819,19,13.677016
-91.956463,20,13.716298
-92.250017,20,13.752931
-93.828386,19,13.79106
-88.958318,20,13.831602
-87.50502,20,13.867943
-94.036456,19,13.895273
-94.09834,19,13.928651
-89.514188,20,13.963669
